1117.5	-4.92317935476615e-11	6.33084893266721e-10	-1.29748847383285e-10	11.35
1117.6	-5.05156306386346e-11	6.33084893266721e-10	-1.2303770010484e-10	10.75
1117.7	-5.70721592875062e-11	6.26373745988275e-10	-1.2303770010484e-10	10.65
1117.8	-5.77166516049373e-11	6.21899647802644e-10	-1.40934092847362e-10	10.95
1117.9	-4.14250180061603e-11	6.37558991452351e-10	-1.45408191032992e-10	11.65
1118	-6.00349419980644e-11	6.21899647802644e-10	-1.29748847383285e-10	12.2
1118.1	-3.14191813372255e-11	6.48744236916427e-10	-1.40934092847362e-10	10.65
1118.2	-4.90212759786832e-11	6.33084893266721e-10	-1.29748847383285e-10	11.25
1118.3	-4.22850134281481e-11	6.37558991452351e-10	-1.40934092847362e-10	11.45
1118.4	-4.58825537363446e-11	6.37558991452351e-10	-1.2303770010484e-10	10.65
1118.5	-4.58524797979191e-11	6.37558991452351e-10	-1.2303770010484e-10	11.25
1118.6	-5.0564167100546e-11	6.26373745988275e-10	-1.52119338311438e-10	12.45
1118.7	-3.92015352595787e-11	6.44270138730797e-10	-1.2303770010484e-10	11.05
1118.8	-2.25212668051959e-11	6.59929482380504e-10	-1.29748847383285e-10	11.75
1118.9	-4.44271433670104e-11	6.37558991452351e-10	-1.29748847383285e-10	11.35
1119	-5.7528442459138e-11	6.26373745988275e-10	-1.18563601919209e-10	10.45
1119.1	-4.43669954901595e-11	6.37558991452351e-10	-1.29748847383285e-10	10.75
1119.2	-4.6474862387034e-11	6.37558991452351e-10	-1.18563601919209e-10	10.75
1119.3	-4.63521911669094e-11	6.33084893266721e-10	-1.40934092847362e-10	11.25
1119.4	-5.52334620016112e-11	6.26373745988275e-10	-1.29748847383285e-10	11.75
1119.5	-3.94188825713176e-11	6.37558991452351e-10	-1.52119338311438e-10	12.65
1119.6	-3.53395073350018e-11	6.44270138730797e-10	-1.40934092847362e-10	10.6
1119.7	-3.76088426951424e-11	6.44270138730797e-10	-1.29748847383285e-10	11.15
1119.8	-4.52149384641433e-11	6.33084893266721e-10	-1.45408191032992e-10	12.45
1119.9	-2.21904534825157e-11	6.59929482380504e-10	-1.29748847383285e-10	10.4
1120	-4.84799450870246e-11	6.33084893266721e-10	-1.29748847383285e-10	11.45
1120.1	-4.97637821779977e-11	6.33084893266721e-10	-1.2303770010484e-10	10.45
1120.2	-3.30718445236678e-11	6.48744236916427e-10	-1.29748847383285e-10	12.4
1120.3	-3.95448726066146e-11	6.44270138730797e-10	-1.18563601919209e-10	11.45
1120.4	-2.97632994795624e-11	6.48744236916427e-10	-1.45408191032992e-10	11.65
1120.5	-3.50688418891724e-11	6.44270138730797e-10	-1.40934092847362e-10	12.15
1120.6	-4.06130216686725e-11	6.37558991452351e-10	-1.45408191032992e-10	11.75
1120.7	-4.51908531525586e-11	6.37558991452351e-10	-1.2303770010484e-10	9.85
1120.8	-2.83909032904399e-11	6.55455384194873e-10	-1.18563601919209e-10	10.95
1120.9	-4.95231906705939e-11	6.33084893266721e-10	-1.2303770010484e-10	10.95
1121	-4.37955906600753e-11	6.37558991452351e-10	-1.29748847383285e-10	10.65
1121.1	-3.71878075571857e-11	6.44270138730797e-10	-1.29748847383285e-10	10.65
1121.2	-4.37354427832244e-11	6.37558991452351e-10	-1.29748847383285e-10	11.25
1121.3	-3.84196128605163e-11	6.44270138730797e-10	-1.2303770010484e-10	9.8
1121.4	-3.83895389220908e-11	6.44270138730797e-10	-1.2303770010484e-10	10.65
1121.5	-4.49502616451549e-11	6.37558991452351e-10	-1.2303770010484e-10	11.65
1121.6	-3.70374378650584e-11	6.44270138730797e-10	-1.29748847383285e-10	11.65
1121.7	-2.92820179659977e-11	6.55455384194873e-10	-1.11852454640763e-10	9.6
1121.8	-4.35549991526715e-11	6.37558991452351e-10	-1.29748847383285e-10	11.15
1121.9	-5.44816135409742e-11	6.26373745988275e-10	-1.29748847383285e-10	11.45
1122	-4.78784663185151e-11	6.33084893266721e-10	-1.29748847383285e-10	9.85
1122.1	-3.45876588743649e-11	6.44270138730797e-10	-1.40934092847362e-10	12.05
1122.2	-4.55726442342697e-11	6.37558991452351e-10	-1.18563601919209e-10	10.65
1122.3	-4.91021555326373e-11	6.33084893266721e-10	-1.2303770010484e-10	10.95
1122.4	-5.19690329138704e-11	6.26373745988275e-10	-1.40934092847362e-10	11.75
1122.5	-4.33444815836932e-11	6.37558991452351e-10	-1.29748847383285e-10	11.25
1122.6	-4.76980226879622e-11	6.33084893266721e-10	-1.29748847383285e-10	10.75
1122.7	-4.76679487495368e-11	6.33084893266721e-10	-1.29748847383285e-10	11.25
1122.8	-4.76378748111113e-11	6.33084893266721e-10	-1.29748847383285e-10	11.45
1122.9	-3.79384298457086e-11	6.44270138730797e-10	-1.2303770010484e-10	10.85
1123	-3.43169934285355e-11	6.44270138730797e-10	-1.40934092847362e-10	11.05
1123.1	-2.89513031420746e-11	6.48744236916427e-10	-1.45408191032992e-10	12.05
1123.2	-4.08113904452997e-11	6.37558991452351e-10	-1.40934092847362e-10	10.75
1123.3	-3.65261809118252e-11	6.44270138730797e-10	-1.29748847383285e-10	12.15
1123.4	-2.98252626006751e-11	6.48744236916427e-10	-1.40934092847362e-10	10.6
1123.5	-2.73310222731845e-11	6.48744236916427e-10	-1.52119338311438e-10	12.7
1123.6	-3.64359590965488e-11	6.44270138730797e-10	-1.29748847383285e-10	10.85
1123.7	-4.42886349997943e-11	6.37558991452351e-10	-1.2303770010484e-10	10.65
1123.8	-4.06309468147469e-11	6.37558991452351e-10	-1.40934092847362e-10	10.65
1123.9	-4.29234464457365e-11	6.37558991452351e-10	-1.29748847383285e-10	10.65
1124	-5.14878498990628e-11	6.26373745988275e-10	-1.40934092847362e-10	10.75
1124.1	-2.30550527151204e-11	6.55455384194873e-10	-1.40934092847362e-10	11.95
1124.2	-2.6557473092099e-11	6.55455384194873e-10	-1.2303770010484e-10	10.5
1124.3	-3.39260322290043e-11	6.44270138730797e-10	-1.40934092847362e-10	12.25
1124.4	-3.14155195180686e-11	6.44270138730797e-10	-1.52119338311438e-10	12.65
1124.5	-4.40480434923906e-11	6.37558991452351e-10	-1.2303770010484e-10	10.75
1124.6	-3.38509867918019e-11	6.48744236916427e-10	-1.18563601919209e-10	9.6
1124.7	-3.17185172945212e-11	6.48744236916427e-10	-1.29748847383285e-10	11.95
1124.8	-4.03302074304921e-11	6.37558991452351e-10	-1.40934092847362e-10	11.65
1124.9	-2.9374153524293e-11	6.48744236916427e-10	-1.40934092847362e-10	11.85
1125	-3.73068771387737e-11	6.44270138730797e-10	-1.2303770010484e-10	9.6
1125.1	-3.72768032003482e-11	6.44270138730797e-10	-1.2303770010484e-10	11.15
